ISBN,Title,d,m,Price,Year
0782140661,OCP: Oracle9i Certification Kit,0,0,104.97,2002
0072227885,SQL Server 2000 for Experienced DBA's,0,0,34.99,2003
0471200247,The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling,0,0,50.00,2002
0072227710,How To Do Everything with Your Tablet PC,0,0,17.49,2003
1558605525,Data Mining: Practical Machine Learning Tools and Techniques with Java Implementations,0,0,49.95,1999
0972263608,Creating Documents with BusinessObjects 5.1,0,0,99.00,2002
0201615762,The Guru's Guide to Transact-SQL,0,0,38.49,2000
0782140114,Access 2002 Developer's Handbook Set,0,0,69.99,2001
0321125169,ColdFusion MX Web Application Construction Kit,0,0,38.49,2002
0805317554,Fundamentals of Database Systems ,0,0,95.00,1999
1861004486,Professional SQL Server 2000 Programming,0,0,41.99,2000
0735712123,MySQL,0,0,34.99,2003
0425188361,Cerulean Sins,0,0,16.07,2003
0142001740,The Secret Life of Bees,0,0,14.00,2003
0596004478,Google Hacks,0,0,24.95,2003
0071414339,"Investing in Fixer-Uppers : A Complete Guide to Buying Low, Fixing Smart, Adding Value, and Selling (or Renting) High",0,0,18.95,2003
0312311354,The Pianist,0,0,13.00,2003
0312287941,The Girl in the Red Coat: A Memoir,0,0,25.95,2002
0312243022,The Hours,0,0,3.44,2000
0609610570,Execution: The Discipline of Getting Things Done,0,0,27.50,2002
0316602051,The Jester,0,0,27.95,2003
0743222008,The Vanished Man: A Lincoln Rhyme Novel,0,0,25.00,2003
0066214750,Twelve Times Blessed,0,0,25.95,2003
0787960756,The Five Dysfunctions of a Team: A Leadership Fable,0,0,13.20,2002
0743206061,The Second Time Around,0,0,26.00,2003
1590520734,The Rescuer: The O'Malley Series,0,0,12.99,2003
0060934417,Bel Canto: A Novel,0,0,13.95,2002
0440237556,The Dark Highlander,0,0,6.99,2002
0373272839,Letters to Kelly,0,0,4.75,2003
0670031518,The Blank Slate: The Modern Denial of Human Nature,0,0,27.95,2002
0738206679,Linked: The New Science of Networks,0,0,26.00,2002
067976867X,Consilience: The Unity of Knowledge,0,0,15.00,1999
0679450785,The Future of Life,0,0,22.00,2002
1579550088,A New Kind of Science,0,0,44.95,2002
0684843285,ON FOOD AND COOKING,0,0,22.00,1997
0471358983,Building Construction Illustrated,0,0,40.00,2000
0394739698,A Field Guide to American Houses,0,0,24.95,1984
1586851322,Prefab,0,0,39.95,2002
1586851357,Cabins & Camps,0,0,60.00,2002
156158648X,The New City Home: Smart Solutions for Metro Living,0,0,24.95,2003
0865659982,Composers' Houses,0,0,50.00,1998
0517576600,Color: Natural Palettes for Painted Rooms,0,0,50.00,1992
0262024829,Financial Modeling ,0,0,70.00,2000
0072294337,Financial Markets & Corporate Strategy,0,0,122.50,2001
0072315318,Analysis for Financial Management,0,0,79.20,2000
