ISBN,authorid,,,,,,,
0738206679,1,,,,,,,
0316096199,2,,,,,,,
0316666343,2,,,,,,,
1586851322,3,,,,,,,
0316602051,4,,,,,,,
1561584029,5,,,,,,,
1579902944,5,,,,,,,
0321125169,6,,,,,,,
0060934417,7,,,,,,,
0156006219,7,,,,,,,
0060540753,7,,,,,,,
1558606432,8,,,,,,,
0321125169,9,,,,,,,
1880418568,11,,,,,,,
0782140661,12,,,,,,,
0072227710,13,,,,,,,
0072227885,14,,,,,,,
1586851322,15,,,,,,,
0345409469,16,,,,,,,
0375508325,16,,,,,,,
0345336895,16,,,,,,,
0671004107,16,,,,,,,
0345376595,16,,,,,,,
0471358983,17,,,,,,,
0609610570,18,,,,,,,
0782140661,19,,,,,,,
0865659982,20,,,,,,,
0385504470,21,,,,,,,
0130323519,22,,,,,,,
1590520734,23,,,,,,,
0743244249,24,,,,,,,
0140077022,24,,,,,,,
0679722955,24,,,,,,,
0684848155,24,,,,,,,
0471363049,25,,,,,,,
0517576600,26,,,,,,,
0782140661,27,,,,,,,
067976867X,28,,,,,,,
0679450785,28,,,,,,,
0393319407,28,,,,,,,
067463442X,28,,,,,,,
1558605525,29,,,,,,,
0471358983,30,,,,,,,
0471286168,30,,,,,,,
0471288217,30,,,,,,,
1565924916,31,,,,,,,
0865659982,32,,,,,,,
0684843285,33,,,,,,,
1558605525,34,,,,,,,
038572179X,35,,,,,,,
0385494246,35,,,,,,,
0385494327,35,,,,,,,
0385494149,35,,,,,,,
0066214750,36,,,,,,,
0865659982,37,,,,,,,
0316602051,38,,,,,,,
0071414339,39,,,,,,,
0743222008,40,,,,,,,
0262232197,41,,,,,,,
0324113641,41,,,,,,,
0471363049,42,,,,,,,
0782140661,43,,,,,,,
1561586196,44,,,,,,,
0440237556,45,,,,,,,
0130998516,48,,,,,,,
0782140114,47,,,,,,,
0201615762,46,,,,,,,
0609610570,49,-,,,,,,
0517576600,50,,,,,,,
0425188361,51,,,,,,,
0130323519,52,,,,,,,
0394739698,53,,,,,,,
0321125169,54,,,,,,,
156158648X,55,,,,,,,
0471200247,56,,,,,,,
0072294337,58,,,,,,,
0375703764,57,,,,,,,
0743206061,59,,,,,,,
0743206061,59,,,,,,,
0312276702,61,,,,,,,
0782140661,60,,,,,,,
0312243022,62,,,,,,,
0072222743,64,,,,,,,
0345452089,63,,,,,,,
0782140114,65,,,,,,,
0321125169,66,,,,,,,
0446527793,67,,,,,,,
0446608955,67,,,,,,,
0446676098,67,,,,,,,
0446606812,67,,,,,,,
0399149848,68,,,,,,,
0373218192,68,,,,,,,
0373218257,68,,,,,,,
0399149392,68,,,,,,,
0787960756,69,,,,,,,
0735712123,72,,,,,,,
0782140114,71,,,,,,,
0324107501,70,,,,,,,
0596004478,73,,,,,,,
0471200247,75,,,,,,,
1586851357,74,,,,,,,
0609610570,76,,,,,,,
0805317554,77,,,,,,,
0324107501,78,,,,,,,
1861004486,79,,,,,,,
0072315318,80,,,,,,,
0972263608,81,,,,,,,
0312287941,82,,,,,,,
0735712360,83,,,,,,,
0735712379,83,,,,,,,
0735713170,83,,,,,,,
0805317554,84,,,,,,,
0072294337,85,,,,,,,
0262521415,86,,,,,,,
0262024829,86,,,,,,,
0262024829,10,,,,,,,
0743467523,88,,,,,,,
0743457358,88,,,,,,,
1880418568,88,,,,,,,
0743455967,88,,,,,,,
1579550088,87,,,,,,,
0471391123,89,,,,,,,
0670031518,90,,,,,,,
0393318486,90,,,,,,,
0060958332,90,,,,,,,
0060958405,90,,,,,,,
0142001740,91,,,,,,,
0373272839,92,,,,,,,
0517576600,93,,,,,,,
0596004478,94,,,,,,,
0471363049,95,,,,,,,
0061092177,96,,,,,,,
0060502935,96,,,,,,,
0061020656,96,,,,,,,
0060855925,96,,,,,,,
0061020648,96,,,,,,,
0061161721,96,,,,,,,
0517576600,97,,,,,,,
0394739698,98,,,,,,,
0130323519,99,,,,,,,
0324107501,100,,,,,,,
0312311354,101,,,,,,,
,,,,,,,,
